agent_id,year,decision,flood,cumulative_state,elevated,has_insurance,relocated,raw_skill,outcome
Agent_1,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_2,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_3,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_4,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_5,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_6,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_7,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_8,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_9,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_10,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_11,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_12,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_13,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_14,1,Only House Elevation,False,Only House Elevation,True,False,False,elevate_house,APPROVED
Agent_15,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_16,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_17,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_18,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_19,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,RETRY_SUCCESS
Agent_20,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_1,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_2,2,Only Flood Insurance,False,Only Flood Insurance,False,True,False,buy_insurance,APPROVED
Agent_3,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_4,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_5,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_6,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_7,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_8,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_9,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_10,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_11,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_12,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_13,2,Only Flood Insurance,False,Only Flood Insurance,False,True,False,buy_insurance,APPROVED
Agent_14,2,Only House Elevation,False,Only House Elevation,True,False,False,do_nothing,APPROVED
Agent_15,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_16,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,RETRY_SUCCESS
Agent_17,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,RETRY_SUCCESS
Agent_18,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_19,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_20,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_1,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_2,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,UNCERTAIN
Agent_3,3,Only House Elevation,True,Only House Elevation,True,False,False,elevate_house,RETRY_SUCCESS
Agent_4,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_5,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,UNCERTAIN
Agent_6,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_7,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_8,3,Only Flood Insurance,True,Only Flood Insurance,False,True,False,buy_insurance,APPROVED
Agent_9,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,UNCERTAIN
Agent_10,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_11,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,UNCERTAIN
Agent_12,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,UNCERTAIN
Agent_13,3,Only House Elevation,True,Only House Elevation,True,False,False,elevate_house,RETRY_SUCCESS
Agent_14,3,Only House Elevation,True,Only House Elevation,True,False,False,do_nothing,UNCERTAIN
Agent_15,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,UNCERTAIN
Agent_16,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,UNCERTAIN
Agent_17,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,UNCERTAIN
Agent_18,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,UNCERTAIN
Agent_19,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,UNCERTAIN
Agent_20,3,Do Nothing,True,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_1,4,Do Nothing,True,Do Nothing,False,False,False,do_nothing,UNCERTAIN
Agent_2,4,Only Flood Insurance,True,Only Flood Insurance,False,True,False,buy_insurance,RETRY_SUCCESS
Agent_3,4,Only House Elevation,True,Only House Elevation,True,False,False,do_nothing,RETRY_SUCCESS
Agent_4,4,Do Nothing,True,Do Nothing,False,False,False,do_nothing,UNCERTAIN
Agent_5,4,Do Nothing,True,Do Nothing,False,False,False,do_nothing,UNCERTAIN
Agent_6,4,Do Nothing,True,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_7,4,Do Nothing,True,Do Nothing,False,False,False,do_nothing,UNCERTAIN
Agent_8,4,Only House Elevation,True,Only House Elevation,True,False,False,elevate_house,RETRY_SUCCESS
Agent_9,4,Only Flood Insurance,True,Only Flood Insurance,False,True,False,buy_insurance,RETRY_SUCCESS
Agent_10,4,Only Flood Insurance,True,Only Flood Insurance,False,True,False,buy_insurance,RETRY_SUCCESS
Agent_11,4,Do Nothing,True,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_12,4,Do Nothing,True,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_13,4,Only House Elevation,True,Only House Elevation,True,False,False,do_nothing,APPROVED
Agent_14,4,Only House Elevation,True,Only House Elevation,True,False,False,do_nothing,APPROVED
Agent_15,4,Do Nothing,True,Do Nothing,False,False,False,do_nothing,UNCERTAIN
Agent_16,4,Only Flood Insurance,True,Only Flood Insurance,False,True,False,buy_insurance,RETRY_SUCCESS
